역사_ID,역사명,호선,위도,경도,station_x_5179,station_y_5179,matched_CELL_ID,matched_CELL_X,matched_CELL_Y,distance_m
9010,동탄,수도권 광역급행철도,37.20034,127.09569,964120.6067664076,1911358.633122785,다사64001125,964125,1911375,16.946243570999137
9009,구성,수도권 광역급행철도,37.29913,127.10389,964894.1593914757,1922315.1893097728,다사64752225,964875,1922375,62.804465981121595
9008,성남,수도권 광역급행철도,37.39467,127.12058,966415.92188548,1932908.3697207323,다사66253275,966375,1932875,52.802831107776704
9007,수서,수도권 광역급행철도,37.48637,127.10161,964779.8043949654,1943088.693858257,다사64754300,964875,1943125,101.8839494040277
9006,삼성,수도권 광역급행철도,37.50887,127.06324,961399.2206815536,1945599.9668568312,다사61254550,961375,1945625,34.832451418599646
9005,서울,수도권 광역급행철도,37.55569,126.97296,953449.3444980255,1950835.2497425184,다사53255075,953375,1950875,84.30413605816784
9004,연신내,수도권 광역급행철도,37.61878,126.9213,948929.5760002597,1957861.65503808,다사48755775,948875,1957875,56.18387502653274
9002,대곡,수도권 광역급행철도,37.63191,126.81113,939217.6271563078,1959384.0407479084,다사39005925,939125,1959375,93.06731546796567
9001,킨텍스,수도권 광역급행철도,37.66532,126.74843,933714.9225526336,1963133.2743133702,다사33506300,933625,1963125,90.30243481703606
9000,운정,수도권 광역급행철도,37.71614,126.72841,931995.6492667164,1968786.034452644,다사31756875,931875,1968875,149.90368299537482
4929,김포공항,김포골드라인,37.56236,126.801868,938343.0194780838,1951673.7449550747,다사38255150,938375,1951625,58.299437623957246
4928,고촌,김포골드라인,37.601243,126.770345,935592.4697455917,1956008.8263354797,다사35505600,935625,1956125,120.64218905479088
4927,풍무,김포골드라인,37.612488,126.732387,932252.0212084511,1957283.1422969156,다사32255725,932375,1957375,153.49795043177218
4926,사우(김포시청),김포골드라인,37.620249,126.719731,931142.1682457733,1958153.4149863804,다사31005800,931125,1958125,33.19879687472534
4925,걸포북변,김포골드라인,37.63165,126.705975,929938.900021409,1959428.5115952515,다사29755925,929875,1959375,83.34688693908008
4924,운양,김포골드라인,37.653867,126.68393,928015.1610670369,1961910.1372715381,다사28006175,928125,1961875,115.32224003033862
4923,장기,김포골드라인,37.643986,126.669017,926689.9620054925,1960825.4071300882,다사26506075,926625,1960875,81.72829928305985
4922,마산,김포골드라인,37.640732,126.644344,924509.9546708554,1960483.9497006878,다사24506025,924625,1960375,158.44704174562543
4921,구래,김포골드라인,37.645384,126.628633,923128.6226422397,1961012.8416847747,다사23006100,923125,1961125,112.21680449454986
4920,양촌,김포골드라인,37.642379,126.614309,921861.7959966928,1960691.2761073653,다사21756050,921875,1960625,67.5786069020923
4815,원시,서해선,37.302371,126.786691,936784.3338947684,1922839.685102178,다사36752275,936875,1922875,97.30100023148896
4814,원곡,서해선,37.31321,126.796261,937641.4209378813,1924035.8211765564,다사37502400,937625,1924125,90.67805551337518
4813,초지,서해선,37.319619,126.808147,938699.8627568912,1924739.0684364433,다사38502450,938625,1924625,136.44061184990207
4812,선부,서해선,37.334353,126.809904,938867.4786149054,1926372.542791924,다사38752625,938875,1926375,7.912591564740911
4811,달미,서해선,37.348847,126.809409,938835.384787199,1927980.8538538232,다사38752775,938875,1927875,113.02390656177091
4810,시흥능곡,서해선,37.369864,126.808573,938778.4157838533,1930313.0667224878,다사38753025,938875,1930375,114.73552924914614
4809,시흥시청,서해선,37.382223,126.805625,938527.4729694406,1931686.120864022,다사38503150,938625,1931625,115.09683622294635
4808,신현,서해선,37.409008,126.788017,936991.055356559,1934669.343516411,다사36753450,936875,1934625,124.23845312032157
4807,신천,서해선,37.439066,126.786788,936907.5176642194,1938004.90451701,다사36753800,936875,1938125,124.41994824329453
4806,시흥대야,서해선,37.450145,126.793041,937469.9022072712,1939229.8833212135,다사37253900,937375,1939125,141.44589076295856
4805,소새울,서해선,37.468467,126.797252,937857.5317944,1941259.814190981,다사37754125,937875,1941375,116.5028274603325
4804,소사,서해선,37.483279,126.795023,937672.7263423724,1942904.595584,다사37504275,937625,1942875,56.15783425796281
4713,신설동,우이신설선,37.576095,127.023242,957902.0004926518,1953075.3663017184,다사57755300,957875,1953125,56.50248320693856
4712,보문,우이신설선,37.585286,127.019381,957566.2867427195,1954096.8003924326,다사57505400,957625,1954125,65.13420336078862
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516,957317.4361476196,1954894.7969529803,다사57255475,957375,1954875,60.87295333870189
4710,정릉,우이신설선,37.603133,127.013396,957048.1287720796,1956079.56434289,다사57005600,957125,1956125,89.29493053367709
4709,북한산보국문,우이신설선,37.612072,127.008251,956599.1782238036,1957073.6741415763,다사56505700,956625,1957125,57.455268416974604
4708,솔샘,우이신설선,37.620238,127.013626,957078.2626474176,1957977.1866534278,다사57005775,957125,1957875,112.36766556790299
4707,삼양사거리,우이신설선,37.621337,127.020473,957683.1261826975,1958096.0071320876,다사57505800,957625,1958125,64.95567338398303
4706,삼양,우이신설선,37.626914,127.018106,957477.421034411,1958715.822750069,다사57255850,957375,1958625,136.88988355571885
4705,화계,우이신설선,37.634133,127.017511,957429.0357115032,1959517.0125030684,다사57255950,957375,1959625,120.75246420345789
4704,가오리,우이신설선,37.641537,127.016789,957369.5624952215,1960338.7863725321,다사57256025,957375,1960375,36.61957499203653
4703,4.19민주묘지,우이신설선,37.649502,127.013684,957100.2089425038,1961223.8900091639,다사57006100,957125,1961125,101.95013704852335
4702,솔밭공원,우이신설선,37.65603,127.013273,957067.7113809484,1961948.3371210722,다사57006175,957125,1961875,93.06083601600757
